lat,lon,streak,sst_media
25.63,-113.69,5,22.812
25.63,-113.68,5,22.767
25.63,-113.67,5,22.7348
25.63,-113.66,5,22.7114
25.63,-113.65,5,22.6938
25.63,-113.64,5,22.684000000000005
25.63,-113.63,5,22.6812
25.63,-113.62,5,22.6802
25.63,-113.61,5,22.679799999999997
25.63,-113.6,5,22.6804
25.63,-113.59,5,22.6832
25.63,-113.58,5,22.6896
25.64,-113.7,5,22.7976
25.64,-113.69,5,22.7572
25.64,-113.68,5,22.7246
25.64,-113.67,5,22.7008
25.64,-113.66,5,22.6818
25.64,-113.65,5,22.667
25.64,-113.64,5,22.6588
25.64,-113.63,5,22.6554
25.64,-113.62,5,22.653399999999998
25.64,-113.61,5,22.6522
25.64,-113.6,5,22.6514
25.64,-113.59,5,22.6522
25.64,-113.58,5,22.6558
25.64,-113.57,5,22.663000000000004
25.64,-113.56,5,22.6718
25.64,-113.55,5,22.680200000000003
25.64,-113.54,5,22.687600000000003
25.64,-113.53,5,22.6952
25.64,-113.52,5,22.7034
25.64,-113.51,5,22.7132
25.65,-113.72,5,22.8078
25.65,-113.71,5,22.772399999999998
25.65,-113.7,5,22.742600000000003
25.65,-113.69,5,22.7164
25.65,-113.68,5,22.6952
25.65,-113.67,5,22.678400000000003
25.65,-113.66,5,22.663999999999998
25.65,-113.65,5,22.6516
25.65,-113.64,5,22.6428
25.65,-113.63,5,22.638
25.65,-113.62,5,22.6348
25.65,-113.61,5,22.632399999999997
25.65,-113.6,5,22.6308
25.65,-113.59,5,22.629799999999996
25.65,-113.58,5,22.6306
25.65,-113.57,5,22.6348
25.65,-113.56,5,22.641399999999997
25.65,-113.55,5,22.6476
25.65,-113.54,5,22.653
25.65,-113.53,5,22.658800000000003
25.65,-113.52,5,22.6656
25.65,-113.51,5,22.674
25.65,-113.5,5,22.6848
25.65,-113.49,5,22.699199999999998
25.65,-113.48,5,22.718
25.66,-113.73,5,22.7664
25.66,-113.72,5,22.7394
25.66,-113.71,5,22.719
25.66,-113.7,5,22.7016
25.66,-113.69,5,22.685399999999998
25.66,-113.68,5,22.671999999999997
25.66,-113.67,5,22.6616
25.66,-113.66,5,22.651
25.66,-113.65,5,22.6412
25.66,-113.64,5,22.632799999999996
25.66,-113.63,5,22.6262
25.66,-113.62,5,22.621199999999998
25.66,-113.61,5,22.6186
25.66,-113.6,5,22.6168
25.66,-113.59,5,22.615
25.66,-113.58,5,22.6138
25.66,-113.57,5,22.615199999999998
25.66,-113.56,5,22.6192
25.66,-113.55,5,22.624000000000002
25.66,-113.54,5,22.628999999999998
25.66,-113.53,5,22.6344
25.66,-113.52,5,22.642000000000003
25.66,-113.51,5,22.6512
25.66,-113.5,5,22.6612
25.66,-113.49,5,22.6726
25.66,-113.48,5,22.687800000000003
25.66,-113.47,5,22.7074
25.67,-113.75,5,22.756400000000003
25.67,-113.74,5,22.732
25.67,-113.73,5,22.7086
25.67,-113.72,5,22.692
25.67,-113.71,5,22.6812
25.67,-113.7,5,22.671
25.67,-113.69,5,22.660000000000004
25.67,-113.68,5,22.650600000000004
25.67,-113.67,5,22.6438
25.67,-113.66,5,22.638199999999998
25.67,-113.65,5,22.6314
25.67,-113.64,5,22.624
25.67,-113.63,5,22.6164
25.67,-113.62,5,22.610599999999998
25.67,-113.61,5,22.607999999999997
25.67,-113.6,5,22.6074
