lat,lon,sst_media,racha_18p0,cumple_18p0,racha_19p0,cumple_19p0,racha_20p0,cumple_20p0,racha_21p0,cumple_21p0,racha_22p0,cumple_22p0,racha_23p0,cumple_23p0,racha_24p0,cumple_24p0
24.75,-113.13,22.1774,0,False,0,False,0,False,0,False,2,False,5,True,5,True
24.75,-113.12,22.212,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.11,22.245,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.1,22.275,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.09,22.297800000000002,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.08,22.3122,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.07,22.321,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.06,22.328,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.05,22.3328,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.04,22.3352,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.03,22.3356,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.02,22.3354,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.01,22.3352,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-113.0,22.3354,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-112.99,22.3354,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-112.98,22.3318,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-112.97,22.3224,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-112.96,22.307,0,False,0,False,0,False,0,False,0,False,5,True,5,True
24.75,-112.95,22.285800000000002,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.94,22.2604,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.93,22.2332,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.92,22.204,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.91,22.173,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.9,22.1398,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.89,22.1042,0,False,0,False,0,False,0,False,1,False,5,True,5,True
24.75,-112.88,22.064999999999998,0,False,0,False,0,False,0,False,2,False,5,True,5,True
24.75,-112.87,22.0212,0,False,0,False,0,False,0,False,3,False,5,True,5,True
24.75,-112.86,21.972199999999997,0,False,0,False,0,False,0,False,3,False,5,True,5,True
24.75,-112.85,21.918,0,False,0,False,0,False,0,False,3,False,5,True,5,True
24.75,-112.84,21.8592,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.83,21.800800000000002,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.82,21.7468,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.81,21.7016,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.8,21.669600000000003,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.79,21.650399999999998,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.78,21.6406,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.77,21.6372,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.76,21.636400000000002,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.75,21.636000000000003,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.74,21.6358,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.73,21.6354,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.72,21.6362,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.71,21.6392,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.7,21.642200000000003,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.69,21.6428,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.68,21.6396,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.67,21.632600000000004,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.66,21.6214,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.65,21.607,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.64,21.5906,0,False,0,False,0,False,0,False,4,False,5,True,5,True
