lat,lon,racha_max
24.75,-113.75,4
24.75,-113.74,4
24.75,-113.73,4
24.75,-113.72,4
24.75,-113.71,4
24.75,-113.7,4
24.75,-113.69,4
24.75,-113.68,4
24.75,-113.67,4
24.75,-113.66,4
24.75,-113.65,4
24.75,-113.64,4
24.75,-113.63,4
24.75,-113.62,4
24.75,-113.61,5
24.75,-113.6,5
24.75,-113.59,5
24.75,-113.58,5
24.75,-113.57,5
24.75,-113.56,5
24.75,-113.55,5
24.75,-113.54,5
24.75,-113.53,5
24.75,-113.52,9
24.75,-113.51,9
24.75,-113.5,9
24.75,-113.49,9
24.75,-113.48,9
24.75,-113.47,9
24.75,-113.46,9
24.75,-113.45,9
24.75,-113.44,9
24.75,-113.43,9
24.75,-113.42,13
24.75,-113.41,13
24.75,-113.4,13
24.75,-113.39,13
24.75,-113.38,9
24.75,-113.37,9
24.75,-113.36,9
24.75,-113.35,9
24.75,-113.34,13
24.75,-113.33,15
24.75,-113.32,10
24.75,-113.31,10
24.75,-113.3,9
24.75,-113.29,9
24.75,-113.28,9
24.75,-113.27,9
24.75,-113.26,9
24.75,-113.25,9
24.75,-113.24,16
24.75,-113.23,17
24.75,-113.22,17
24.75,-113.21,17
24.75,-113.2,17
24.75,-113.19,16
24.75,-113.18,16
24.75,-113.17,16
24.75,-113.16,16
24.75,-113.15,16
24.75,-113.14,15
24.75,-113.13,15
24.75,-113.12,15
24.75,-113.11,15
24.75,-113.1,15
24.75,-113.09,15
24.75,-113.08,15
24.75,-113.07,15
24.75,-113.06,15
24.75,-113.05,15
24.75,-113.04,15
24.75,-113.03,13
24.75,-113.02,13
24.75,-113.01,8
24.75,-113.0,8
24.75,-112.99,8
24.75,-112.98,8
24.75,-112.97,8
24.75,-112.96,8
24.75,-112.95,8
24.75,-112.94,8
24.75,-112.93,8
24.75,-112.92,8
24.75,-112.91,8
24.75,-112.9,8
24.75,-112.89,8
24.75,-112.88,8
24.75,-112.87,8
24.75,-112.86,8
24.75,-112.85,8
24.75,-112.84,8
24.75,-112.83,8
24.75,-112.82,8
24.75,-112.81,8
24.75,-112.8,8
24.75,-112.79,8
24.75,-112.78,8
24.75,-112.77,8
24.75,-112.76,8
24.75,-112.75,8
24.75,-112.74,8
24.75,-112.73,8
24.75,-112.72,8
24.75,-112.71,8
24.75,-112.7,8
24.75,-112.69,8
24.75,-112.68,8
24.75,-112.67,8
24.75,-112.66,8
24.75,-112.65,8
24.75,-112.64,8
24.75,-112.63,8
24.75,-112.62,8
24.75,-112.61,8
24.75,-112.6,8
24.75,-112.59,8
24.75,-112.58,8
24.75,-112.57,8
24.75,-112.56,8
24.75,-112.55,8
24.75,-112.54,8
24.75,-112.53,8
24.75,-112.52,8
24.75,-112.51,8
24.75,-112.5,8
24.75,-112.49,8
24.75,-112.48,8
24.75,-112.47,8
24.75,-112.46,8
24.75,-112.45,8
24.75,-112.44,8
24.75,-112.43,8
24.75,-112.42,8
24.75,-112.41,8
24.75,-112.4,8
24.75,-112.39,8
24.75,-112.38,8
24.75,-112.37,8
24.75,-112.36,8
24.75,-112.35,8
24.75,-112.34,8
24.75,-112.33,9
24.75,-112.32,9
24.75,-112.31,9
24.75,-112.3,9
24.75,-112.29,10
24.75,-112.28,10
24.75,-112.27,13
24.75,-112.26,13
24.75,-112.25,13
24.75,-112.24,13
24.75,-112.23,13
24.75,-112.22,13
24.75,-112.21,13
24.75,-112.2,13
24.75,-112.19,13
24.75,-112.18,13
24.75,-112.17,13
24.75,-112.16,13
24.75,-112.15,13
24.75,-112.14,13
24.75,-112.13,13
24.75,-112.12,13
24.75,-112.11,13
24.75,-112.1,13
24.75,-112.09,13
24.75,-112.08,13
24.75,-112.07,13
24.75,-112.05,12
24.75,-112.04,12
24.75,-112.03,12
24.76,-113.75,4
24.76,-113.74,4
24.76,-113.73,4
24.76,-113.72,4
24.76,-113.71,4
24.76,-113.7,4
24.76,-113.69,4
24.76,-113.68,4
24.76,-113.67,4
24.76,-113.66,4
24.76,-113.65,4
24.76,-113.64,4
24.76,-113.63,4
24.76,-113.62,5
24.76,-113.61,5
24.76,-113.6,5
24.76,-113.59,5
24.76,-113.58,5
24.76,-113.57,5
24.76,-113.56,5
24.76,-113.55,5
24.76,-113.54,5
24.76,-113.53,6
24.76,-113.52,9
24.76,-113.51,9
24.76,-113.5,9
24.76,-113.49,9
24.76,-113.48,9
24.76,-113.47,9
24.76,-113.46,9
24.76,-113.45,9
24.76,-113.44,9
24.76,-113.43,13
24.76,-113.42,13
24.76,-113.41,13
24.76,-113.4,13
24.76,-113.39,13
24.76,-113.38,13
24.76,-113.37,13
24.76,-113.36,13
24.76,-113.35,13
24.76,-113.34,15
24.76,-113.33,15
24.76,-113.32,15
24.76,-113.31,15
24.76,-113.3,15
24.76,-113.29,9
24.76,-113.28,9
24.76,-113.27,9
24.76,-113.26,9
24.76,-113.25,9
24.76,-113.24,16
24.76,-113.23,17
24.76,-113.22,17
24.76,-113.21,17
24.76,-113.2,17
24.76,-113.19,17
24.76,-113.18,16
24.76,-113.17,16
24.76,-113.16,16
24.76,-113.15,16
24.76,-113.14,15
24.76,-113.13,15
24.76,-113.12,15
24.76,-113.11,15
24.76,-113.1,15
24.76,-113.09,15
24.76,-113.08,15
24.76,-113.07,15
24.76,-113.06,15
24.76,-113.05,15
24.76,-113.04,15
24.76,-113.03,13
24.76,-113.02,13
24.76,-113.01,8
24.76,-113.0,8
24.76,-112.99,8
24.76,-112.98,8
24.76,-112.97,8
24.76,-112.96,8
24.76,-112.95,8
