lat,lon,racha_max
24.75,-113.75,0
24.75,-113.74,0
24.75,-113.73,0
24.75,-113.72,0
24.75,-113.71,0
24.75,-113.7,0
24.75,-113.69,0
24.75,-113.68,0
24.75,-113.67,0
24.75,-113.66,0
24.75,-113.65,0
24.75,-113.64,0
24.75,-113.63,0
24.75,-113.62,0
24.75,-113.61,0
24.75,-113.6,0
24.75,-113.59,0
24.75,-113.58,0
24.75,-113.57,0
24.75,-113.56,0
24.75,-113.55,0
24.75,-113.54,0
24.75,-113.53,0
24.75,-113.52,0
24.75,-113.51,0
24.75,-113.5,0
24.75,-113.49,0
24.75,-113.48,0
24.75,-113.47,0
24.75,-113.46,0
24.75,-113.45,0
24.75,-113.44,0
24.75,-113.43,0
24.75,-113.42,0
24.75,-113.41,0
24.75,-113.4,0
24.75,-113.39,0
24.75,-113.38,0
24.75,-113.37,0
24.75,-113.36,0
24.75,-113.35,0
24.75,-113.34,0
24.75,-113.33,0
24.75,-113.32,0
24.75,-113.31,0
24.75,-113.3,0
24.75,-113.29,0
24.75,-113.28,0
24.75,-113.27,0
24.75,-113.26,0
24.75,-113.25,0
24.75,-113.24,0
24.75,-113.23,0
24.75,-113.22,0
24.75,-113.21,0
24.75,-113.2,0
24.75,-113.19,0
24.75,-113.18,0
24.75,-113.17,0
24.75,-113.16,0
24.75,-113.15,0
24.75,-113.14,0
24.75,-113.13,0
24.75,-113.12,0
24.75,-113.11,0
24.75,-113.1,0
24.75,-113.09,0
24.75,-113.08,0
24.75,-113.07,0
24.75,-113.06,0
24.75,-113.05,0
24.75,-113.04,0
24.75,-113.03,0
24.75,-113.02,0
24.75,-113.01,0
24.75,-113.0,0
24.75,-112.99,0
24.75,-112.98,0
24.75,-112.97,0
24.75,-112.96,0
24.75,-112.95,0
24.75,-112.94,0
24.75,-112.93,0
24.75,-112.92,0
24.75,-112.91,0
24.75,-112.9,0
24.75,-112.89,0
24.75,-112.88,0
24.75,-112.87,0
24.75,-112.86,0
24.75,-112.85,0
24.75,-112.84,0
24.75,-112.83,0
24.75,-112.82,0
24.75,-112.81,0
24.75,-112.8,0
24.75,-112.79,0
24.75,-112.78,0
24.75,-112.77,0
24.75,-112.76,0
24.75,-112.75,0
24.75,-112.74,0
24.75,-112.73,0
24.75,-112.72,0
24.75,-112.71,0
24.75,-112.7,0
24.75,-112.69,0
24.75,-112.68,0
24.75,-112.67,0
24.75,-112.66,0
24.75,-112.65,0
24.75,-112.64,0
24.75,-112.63,0
24.75,-112.62,0
24.75,-112.61,0
24.75,-112.6,0
24.75,-112.59,0
24.75,-112.58,0
24.75,-112.57,0
24.75,-112.56,0
24.75,-112.55,0
24.75,-112.54,0
24.75,-112.53,0
24.75,-112.52,0
24.75,-112.51,0
24.75,-112.5,0
24.75,-112.49,0
24.75,-112.48,0
24.75,-112.47,0
24.75,-112.46,0
24.75,-112.45,0
24.75,-112.44,0
24.75,-112.43,0
24.75,-112.42,0
24.75,-112.41,0
24.75,-112.4,0
24.75,-112.39,0
24.75,-112.38,0
24.75,-112.37,0
24.75,-112.36,0
24.75,-112.35,0
24.75,-112.34,0
24.75,-112.33,0
24.75,-112.32,0
24.75,-112.31,0
24.75,-112.3,0
24.75,-112.29,0
24.75,-112.28,0
24.75,-112.27,0
24.75,-112.26,0
24.75,-112.25,0
24.75,-112.24,0
24.75,-112.23,0
24.75,-112.22,0
24.75,-112.21,0
24.75,-112.2,0
24.75,-112.19,0
24.75,-112.18,0
24.75,-112.17,0
24.75,-112.16,0
24.75,-112.15,0
24.75,-112.14,0
24.75,-112.13,0
24.75,-112.12,0
24.75,-112.11,0
