lat,lon,streak,sst_media
24.75,-113.61,5,23.737000000000002
24.75,-113.6,5,23.7232
24.75,-113.59,5,23.707200000000004
24.75,-113.58,5,23.688799999999997
24.75,-113.57,5,23.669
24.75,-113.56,5,23.648200000000003
24.75,-113.55,5,23.6272
24.75,-113.54,5,23.607
24.75,-113.53,5,23.5886
24.75,-113.52,5,23.572799999999997
24.75,-113.51,5,23.561199999999996
24.75,-113.5,5,23.5524
24.75,-113.49,5,23.544400000000003
24.75,-113.48,5,23.5362
24.75,-113.47,5,23.5266
24.75,-113.46,5,23.516000000000002
24.75,-113.45,5,23.5058
24.75,-113.44,5,23.4984
24.75,-113.43,5,23.4964
24.75,-113.42,5,23.5014
24.75,-113.41,5,23.5148
24.75,-113.4,5,23.535
24.75,-113.39,5,23.559
24.75,-113.38,5,23.5834
24.75,-113.37,5,23.6044
24.75,-113.36,5,23.619600000000002
24.75,-113.35,5,23.6298
24.75,-113.34,5,23.6346
24.75,-113.33,5,23.6372
24.75,-113.32,5,23.6386
24.75,-113.31,5,23.639000000000003
24.75,-113.3,5,23.6378
24.75,-113.29,5,23.635
24.75,-113.28,5,23.6316
24.75,-113.27,5,23.6284
24.75,-113.26,5,23.627
24.75,-113.25,5,23.6266
24.75,-113.24,5,23.6256
24.75,-113.23,5,23.6254
24.75,-113.22,5,23.6262
24.75,-113.21,5,23.6272
24.75,-113.2,5,23.6262
24.75,-113.19,5,23.622
24.75,-113.18,5,23.6162
24.75,-113.17,5,23.6102
24.75,-113.16,5,23.6042
24.75,-113.15,5,23.5976
24.75,-113.14,5,23.5902
24.75,-113.13,5,23.5812
24.75,-113.12,5,23.570999999999998
24.75,-113.11,5,23.557799999999997
24.75,-113.1,5,23.5426
24.75,-113.09,5,23.5262
24.75,-113.08,5,23.5106
24.75,-113.07,5,23.499
24.75,-113.06,5,23.492
24.75,-113.05,5,23.4882
24.75,-113.04,5,23.4866
24.75,-113.03,5,23.4866
24.75,-113.02,5,23.4882
24.75,-113.01,5,23.491400000000002
24.75,-113.0,5,23.4954
24.75,-112.99,5,23.5012
24.75,-112.98,5,23.5076
24.75,-112.97,5,23.514400000000002
24.75,-112.96,5,23.5222
24.75,-112.95,5,23.5292
24.75,-112.94,5,23.5368
24.75,-112.93,5,23.543599999999998
24.75,-112.92,5,23.5498
