lat,lon,streak,sst_media
24.75,-113.75,5,25.369999999999997
24.75,-113.74,5,25.372999999999998
24.75,-113.73,5,25.3778
24.75,-113.72,5,25.386400000000002
24.75,-113.71,5,25.4006
24.75,-113.7,5,25.417399999999997
24.75,-113.69,5,25.4322
24.75,-113.68,5,25.4424
24.75,-113.67,5,25.451800000000002
24.75,-113.66,5,25.465200000000003
24.75,-113.65,5,25.4848
24.75,-113.64,5,25.5086
24.75,-113.63,5,25.533000000000005
24.75,-113.62,5,25.5578
24.75,-113.61,5,25.581400000000002
24.75,-113.6,5,25.602000000000004
24.75,-113.59,5,25.618399999999998
24.75,-113.58,5,25.6334
24.75,-113.57,5,25.648000000000003
24.75,-113.56,5,25.6616
24.75,-113.55,5,25.672799999999995
24.75,-113.54,5,25.6822
24.75,-113.53,5,25.687599999999996
24.75,-113.52,5,25.6864
24.75,-113.51,5,25.6792
24.75,-113.5,5,25.6716
24.75,-113.49,5,25.6714
24.75,-113.48,5,25.681399999999996
24.75,-113.47,5,25.6988
24.75,-113.46,5,25.717399999999998
24.75,-113.45,5,25.736800000000006
24.75,-113.44,5,25.7622
24.75,-113.43,5,25.7948
24.75,-113.42,5,25.8298
24.75,-113.41,5,25.8618
24.75,-113.4,5,25.8876
24.75,-113.39,5,25.907799999999998
24.75,-113.38,5,25.9214
24.75,-113.37,5,25.9272
24.75,-113.36,5,25.926199999999994
24.75,-113.35,5,25.923399999999997
24.75,-113.34,5,25.9214
24.75,-113.33,5,25.9214
24.75,-113.32,5,25.924799999999998
24.75,-113.31,5,25.928800000000003
24.75,-113.3,5,25.931800000000003
24.75,-113.29,5,25.9384
24.75,-113.28,5,25.9536
24.75,-113.27,5,25.974400000000003
24.75,-113.26,5,25.996400000000005
24.75,-113.25,5,26.0202
24.75,-113.24,5,26.0474
24.75,-113.23,5,26.077999999999996
24.75,-113.22,5,26.108799999999995
24.75,-113.21,5,26.139599999999994
24.75,-113.2,5,26.1712
24.75,-113.19,5,26.206
24.75,-113.18,5,26.247000000000003
24.75,-113.17,5,26.2952
24.75,-113.16,5,26.3444
24.75,-113.15,5,26.386599999999998
24.75,-113.14,5,26.411
24.75,-113.13,5,26.4098
24.75,-113.12,5,26.3902
24.75,-113.08,5,26.293799999999997
24.75,-113.07,5,26.257799999999996
24.75,-113.06,5,26.208999999999996
24.75,-113.05,5,26.157799999999998
24.75,-113.04,5,26.1118
24.75,-113.03,5,26.0748
24.75,-113.02,5,26.049799999999998
24.75,-113.01,5,26.0392
24.75,-113.0,5,26.043
24.75,-112.99,5,26.0562
24.75,-112.98,5,26.0728
24.75,-112.97,5,26.089
24.75,-112.96,5,26.0998
24.75,-112.95,5,26.1072
24.75,-112.94,5,26.112800000000004
24.75,-112.93,5,26.117199999999997
24.75,-112.92,5,26.1178
24.75,-112.91,5,26.1192
24.75,-112.9,5,26.1324
24.75,-112.89,5,26.155399999999997
24.75,-112.88,5,26.172800000000002
24.75,-112.87,5,26.1784
24.75,-112.86,5,26.1796
24.75,-112.85,5,26.183799999999998
24.75,-112.84,5,26.193399999999997
24.75,-112.83,5,26.206800000000005
24.75,-112.82,5,26.2212
24.75,-112.81,5,26.238
24.75,-112.8,5,26.2608
24.76,-113.75,5,25.3074
24.76,-113.74,5,25.3078
24.76,-113.73,5,25.313000000000002
24.76,-113.72,5,25.323599999999995
24.76,-113.71,5,25.341199999999997
24.76,-113.7,5,25.3626
24.76,-113.69,5,25.3822
24.76,-113.68,5,25.397399999999998
24.76,-113.67,5,25.410599999999995
24.76,-113.66,5,25.4278
24.76,-113.65,5,25.4524
24.76,-113.64,5,25.4826
24.76,-113.63,5,25.513399999999997
24.76,-113.62,5,25.543
24.76,-113.61,5,25.571
24.76,-113.6,5,25.596
24.76,-113.59,5,25.6166
24.76,-113.58,5,25.6332
24.76,-113.57,5,25.6478
24.76,-113.56,5,25.662
24.76,-113.55,5,25.675800000000002
24.76,-113.54,5,25.6884
24.76,-113.53,5,25.698199999999996
24.76,-113.52,5,25.6988
24.76,-113.51,5,25.6904
24.76,-113.5,5,25.681400000000004
24.76,-113.49,5,25.679000000000002
24.76,-113.48,5,25.684199999999997
24.76,-113.47,5,25.694599999999998
24.76,-113.46,5,25.709999999999997
24.76,-113.45,5,25.731
24.76,-113.44,5,25.7582
24.76,-113.43,5,25.7916
24.76,-113.42,5,25.825199999999995
24.76,-113.41,5,25.854599999999998
24.76,-113.4,5,25.8784
24.76,-113.39,5,25.898199999999996
24.76,-113.38,5,25.914000000000005
24.76,-113.37,5,25.922799999999995
24.76,-113.36,5,25.922800000000002
24.76,-113.35,5,25.9164
24.76,-113.34,5,25.905399999999997
24.76,-113.33,5,25.8966
24.76,-113.32,5,25.893399999999996
24.76,-113.31,5,25.892599999999998
24.76,-113.3,5,25.892199999999995
24.76,-113.29,5,25.8992
24.76,-113.28,5,25.9206
24.76,-113.27,5,25.9532
24.76,-113.26,5,25.9908
24.76,-113.25,5,26.029000000000003
24.76,-113.24,5,26.0648
24.76,-113.23,5,26.097199999999997
24.76,-113.22,5,26.1274
24.76,-113.21,5,26.157400000000003
24.76,-113.2,5,26.1878
24.76,-113.19,5,26.2218
24.76,-113.18,5,26.264
24.76,-113.17,5,26.316999999999997
24.76,-113.16,5,26.369999999999997
24.76,-113.15,5,26.4124
24.76,-113.14,5,26.436
24.76,-113.13,5,26.4372
24.76,-113.12,5,26.421000000000003
24.76,-113.07,5,26.264
24.76,-113.06,5,26.2078
24.76,-113.05,5,26.1502
24.76,-113.04,5,26.099199999999996
24.76,-113.03,5,26.060000000000002
24.76,-113.02,5,26.036399999999997
24.76,-113.01,5,26.029200000000003
24.76,-113.0,5,26.0356
24.76,-112.99,5,26.0512
24.76,-112.98,5,26.068999999999996
24.76,-112.97,5,26.087
24.76,-112.96,5,26.1014
24.76,-112.95,5,26.111199999999997
24.76,-112.94,5,26.1162
24.76,-112.93,5,26.116200000000003
24.76,-112.92,5,26.1136
24.76,-112.91,5,26.113999999999997
24.76,-112.9,5,26.1256
24.76,-112.89,5,26.1462
24.76,-112.88,5,26.161199999999997
24.76,-112.87,5,26.1642
24.76,-112.86,5,26.163
