lat,lon,streak,sst_media
24.77,-113.65,5,23.181400000000004
24.77,-113.64,5,23.189999999999998
24.77,-113.63,5,23.200799999999997
24.77,-113.62,5,23.2134
24.77,-113.61,5,23.225
24.77,-113.6,5,23.232599999999998
24.77,-113.59,5,23.239
24.77,-113.58,5,23.2478
24.77,-113.57,5,23.2604
24.77,-113.56,5,23.2748
24.77,-113.55,5,23.2906
24.77,-113.54,5,23.3076
24.77,-113.53,5,23.3242
24.77,-113.52,5,23.336600000000004
24.77,-113.51,5,23.342599999999997
24.77,-113.5,5,23.3444
24.77,-113.49,5,23.3436
24.77,-113.48,5,23.3412
24.77,-113.47,5,23.337600000000002
24.77,-113.46,5,23.3322
24.77,-113.45,5,23.3266
24.77,-113.44,5,23.3198
24.77,-113.43,5,23.3138
24.77,-113.42,5,23.3094
24.77,-113.41,5,23.3064
24.77,-113.4,5,23.3062
24.77,-113.39,5,23.309000000000005
24.77,-113.38,5,23.314999999999998
24.77,-113.37,5,23.3248
24.77,-113.36,5,23.3394
24.77,-113.35,5,23.358
24.77,-113.34,5,23.379799999999996
24.77,-113.33,5,23.403799999999997
24.77,-113.32,5,23.4302
24.77,-113.31,5,23.460600000000003
24.77,-113.3,5,23.494999999999997
24.77,-113.29,5,23.531799999999997
24.77,-113.28,5,23.5682
24.77,-113.27,5,23.6038
24.77,-113.26,5,23.638800000000003
24.77,-113.25,5,23.6732
24.77,-113.24,5,23.7068
24.77,-113.23,5,23.7404
24.77,-113.22,5,23.773400000000002
24.77,-113.21,5,23.806800000000003
24.77,-113.2,5,23.84
24.77,-113.19,5,23.8728
24.77,-113.18,5,23.9056
24.77,-113.17,5,23.938000000000002
24.77,-113.16,5,23.9704
24.77,-113.15,5,24.002000000000002
24.77,-113.14,5,24.0334
24.77,-113.13,5,24.0642
24.77,-113.12,5,24.094
24.77,-113.11,5,24.1224
24.77,-113.1,5,24.148400000000002
24.77,-113.09,5,24.1714
24.77,-113.08,5,24.192600000000002
24.77,-113.07,5,24.2142
24.77,-113.06,5,24.236
24.77,-113.05,5,24.2556
24.78,-113.75,5,23.150799999999997
24.78,-113.74,5,23.145
24.78,-113.73,5,23.14
